row ID	130.mzML Peak area	131.mzML Peak area	132.mzML Peak area	133.mzML Peak area	134.mzML Peak area	135.mzML Peak area	136.mzML Peak area	40.mzML Peak area	41.mzML Peak area	42.mzML Peak area	43.mzML Peak area	44.mzML Peak area	45.mzML Peak area	46.mzML Peak area
117	2392992.635	3302828.325	3797943.011	1714215.637	1039151.242	329205.2652	3344519.295	8703301.776	5009168.837	3340642.863	4888060.464	5391547.669	7269243.94	5372942.498
118	1792520.224	2574044.016	1309341.054	533486.2695	622094.7222	679777.6612	1216590.252	3606342.937	2459500.448	2414879.359	2906446.526	2381410.824	3641878.099	2629309.926
119	578583.9983	231676.0908	306271.2969	287356.4575	281044.0634	162892.3604	555518.1274	763473.2767	742123.1712	247106.0308	370886.5729	422381.5532	919301.6723	1012724.826
120	1932246.647	1485943.424	5302610.542	6385678.905	1590023.43	4380981.306	1017577.315	3173567.527	3416241.875	1050855.619	2346724.03	1334791.137	4482036.478	4678274.048
121	1236572.61	2465122.018	1525552.085	488396.8077	514051.6995	543402.56	346358.9719	549236.6554	998869.6044	1013104.316	572464.7179	505356.2676	8328776.548	897434.8502
122	835572.4528	347828.1767	1201804.27	476539.151	246343.8249	97060.88237	267538.3883	285955.9335	163105.6007	431082.0616	195012.5735	362019.5522	510833.1974	345855.3229
123	2085696.617	2158086.257	2051506.6	2067655.243	2024748.368	2082283.684	2139343.547	2167460.926	2126078.125	2222140.011	2115285.406	2171479.11	2186538.288	2208705.134
124	166990.1337	1286220.523	262406.9697	1484225.142	238124.5425	3659376.173	301258.17	178796.7527	58513.65145	374268.1059	218547.2063	165082.3551	225909.3312	595338.0729
125	917050.5284	1181343.102	1025450.842	912401.0158	1661716.337	4667429.027	1468037.24	695414.3737	823711.6212	763094.0637	783917.1409	776364.5129	864708.9914	714462.1634
126	2223290.704	8729478.397	4165387.876	325903.2183	295255.5829	124384.8607	234910.9599	2198371.759	5328159.481	2205683.24	2510861.948	1813597.904	2728106.52	1964595.612
127	18400000	28700000	12900000	6979126.755	8229210.003	7869997.725	17700000	16800000	15800000	17200000	22800000	31800000	1.9e+07	22100000
128	3147580.488	235048.5875	2398603.568	646784.823	580170.3035	197715.1731	1090572.963	430337.6495	1431523.054	674177.5904	739719.3071	734337.4978	3552898.564	2134893.18
129	1345608.572	1306780.361	1374819.22	1355834.524	1330407.769	1331267.814	1366859.419	1434260.247	1438811.891	1292119.231	1409457.017	1267888.644	1330554.7	1408616.038
130	282837.8425	279153.3693	205673.0902	296445.5445	100986.2975	62816.9289	568044.0154	14038.72914	254483.7046	42566.25902	1709.846726	68067.14348	23844.19876	206331.4825
131	3051715.513	1699468.218	1997915.731	790324.9492	1084532.807	1583391.949	2015569.242	2978929.588	2868447.505	1704197.971	2315093.417	1887163.346	2362483.85	2766160.822
132	1779988.528	181821.996	1380334.155	478260.5077	320475.3108	153849.2474	769387.8326	520111.8645	2350856.536	919330.568	920305.9304	190339.0438	4342822.613	1095854.688
133	6129973.106	5218278.646	6070621.657	2639886.103	2298995.953	2613399.691	4218907.823	7256214.261	6832735.976	7101249.576	6838813.476	5519708.362	7634712.933	8105852.935
134	3343450.98	644196.0318	1235745.073	2329499.501	578494.3612	2627820.567	1850173.37	923659.7719	1180780.594	1253954.02	840248.2697	2063789.475	1053324.269	1863873.216
135	4963656.429	3703632.601	4146815.08	6317479.965	4544829.501	4005794.862	10500000	1012231.615	2423077.28	2669360.44	3142286.12	2174812.466	2713935.064	2649881.676
136	1805104.885	1774999	1858548.275	1848552.997	1805015.149	1913708.174	1792387.791	1799208.552	1911317.495	1915259.561	1900949.187	1828985.533	1847991.003	1921450.591
137	514517.5158	381109.201	519681.5415	654088.9368	438745.4227	457447.7315	661137.8475	773203.1097	648142.131	594595.4369	535511.7664	461115.7325	521556.6316	549262.4959
138	42642.10877	7524118.645	4068373.546	1666228.376	1073677.668	2224758.936	205623.9843	50415.50923	74596.12327	37260.84767	92062.60174	18896.56747	32566.55214	40593.27229
139	87223.77463	86519.83323	239512.2495	69762.32837	38833.86545	29171.67667	73754.25974	89878.00365	97047.4381	115981.7264	31303.6433	207037.0892	200600.7585	96741.42033
140	4834115.862	5483933.646	3244597.868	990544.8482	1362329.74	1087682.168	2233014.376	9325197.23	8679908.079	7322673.572	9023117.874	7149438.385	8210250.225	6872014.299
141	1381451.894	478081.5269	471466.5975	1425285.384	321782.6466	2052331.949	817001.6057	379458.0225	415392.7673	683109.5062	438346.4554	743556.1898	424797.1241	856028.2746
142	1764490.42	1680523.208	1774600.626	1759936.935	1761926.607	1756661.695	1716132.682	1690112.383	1837604.422	1798162.302	1828306.948	1740965.427	1806687.653	1830677.595
143	330439.3933	552549.7519	470222.6809	402997.5569	249241.577	291130.3235	257259.8509	683738.2495	554132.8941	274979.5881	337237.7178	432641.6106	671061.0932	731289.1785
144	2043887.432	1924965.49	1893109.382	1718614.821	1764949.412	1944565.992	2029101.954	1935781.089	1891746.843	1891346.338	1790879.489	1754011.155	1898987.116	1984173.793
145	11600000	15700000	23900000	8333692.917	5465479.108	1363356.718	15700000	4.7e+07	29900000	1.6e+07	40600000	25500000	41300000	48200000
146	554746.9512	402864.6948	915920.1833	1931594.621	446458.9136	1347917.206	263632.9651	817004.3609	991821.0715	302701.5776	651748.3324	399201.6171	792990.1867	975530.0424
147	621649.2838	1153413.345	8931055.575	3194373.655	177690.3916	252773.0791	891255.579	2194720.31	1149941.9	1112306.656	825850.2858	7474838.833	1821251.594	1503004.946
148	1592255.294	1624728.521	1630031.12	1707264.276	1566797.421	1743458.298	1568015.472	1671464.84	1604622.599	1668518.943	1667329.878	1752883.194	1622185.089	1548980.863
149	283970.1393	284483.3848	247863.7309	271008.1259	238400.3511	214474.4367	495167.4949	471289.7854	412343.7073	373319.6001	362895.7624	368520.229	509087.8589	507473.5532
150	3754066.779	3628279.99	2110419.094	3840733.678	3810566.851	2006902.938	3822531.984	4131887.432	2061105.559	3950983.141	4014744.411	3808670.292	1999094.528	3927577.859
151	1244058.842	1333663.401	1289152.883	1311424.463	1195674.482	1278538.702	1290288.027	1294646.061	1276442.627	1279567.861	1294746.899	1354256.389	1378561.37	1271577.932
152	1549086.546	543037.2908	2345762.914	967223.8242	351286.5288	197616.0219	687288.3746	413135.528	293865.0812	826753.7037	370534.3543	597650.1878	1091508.276	654305.8944
153	4908305.939	714044.8988	1810644.752	1246324.091	312970.7438	246659.5549	936231.1765	18900000	8263385.422	5904241.534	5902503.222	5737119.655	6338237.204	13400000
154	1898752.155	53430.47772	187919.6746	41796.50219	353122.9465	814.0273404	175902.9357	392704.5176	515016.1315	683653.138	819741.9698	629232.1388	963593.7953	804533.2815
155	2268.315541	8089997.047	3009592.373	1094485.119	705843.5918	3619249.026	101348.3493	12512.98783	4889.894164	4424.7245	5788.57184	1087.365558	8499.260606	3098.115424
156	952954.9033	977404.8938	994072.2026	1152887.207	997123.6016	967683.2716	1080348.581	1202568.486	1163249.497	1086978.504	1043748.399	1040081.617	1001592.859	1066340.014
