FeatureID	13L.N1	13N.N1	14L.N1	14L.N13	14R.N1	15L.N1	15L.N13	16R.N1	16R.N13	17N.N1	17N.N13	17R.N1	18L.N1	18L.N13	18R.N13	19R.N1	20N.N1	20N.N13
ef1069db8746beeb085860d95659c3e1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
e0472171de6fa02a1f58e392ad3d000e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
014505a73c82139810231cf076d91880	0	0	0	0	0	1	0	29	1	463	24	511	0	0	0	0	0	0
12f9d9b79791663c05efbdd153d8eecc	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
e613626b2ce8bfbf28995d9b11edaeed	0	3	0	0	0	0	0	0	0	10	0	0	4	0	0	0	8	39
10960069c1f639258cf06173217d265f	0	5	0	0	0	0	0	0	1	18	2	5	2	0	8	2	0	0
e32f283ff0b4e236db9c0fe5b1327de7	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	16	260
ad4151c05d800ed8d3f0419c362c9fd9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1c1529acbbd977e6219701a664424f0	81	63	0	0	0	116	59	0	0	196	24	52	0	0	0	11	268	141
a1b43fc99656d516d589f09aad0785ed	44	0	1	0	0	0	0	0	2	0	2	0	0	2	0	4	0	0
923a477c342aa445c4eecca0f8415ed5	0	0	2	1	0	0	0	0	0	0	0	1	1	0	2	10	0	0
983ae2f64b130984492ac1b1b48a1961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
b1d33ca822db18f9f6d41df976d5e603	3	0	260	14	71	0	3	3	7	48	7	0	0	0	0	0	1	0
6124ce129bdddcbcd6d5d62ad3fba4dd	2	0	0	0	0	2	0	0	2	0	0	3	0	0	0	0	0	0
a3cb3a29483774a30b7ce32181738968	7	10	12	3	8	4	0	11	0	3	0	0	2	0	0	9	0	2
c005c9a40dca8de9dc5b89d98575a129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bbb2a3b01d4303ad284bebf5403cbbac	0	4	6	2	6	1	2	8	6	10	4	2	0	2	3	6	6	5
58b45559f778bed825a2b42a174719a1	0	0	0	0	0	0	0	0	0	52	20	10	12	17	82	0	0	0
44ff26d8105cf822417b4b0c4eb27c02	428	253	156	958	400	94	373	93	178	421	299	227	117	43	117	395	84	67
864fb808c26f29d79c123613d0d15fab	118	53	39	6	37	18	13	55	23	137	42	12	51	14	9	41	30	5
71d094b7079dfef6a8ba5fe9a1f27226	272	361	181	68	239	42	21	157	5	0	0	0	19	2	0	276	0	0
f26ce6e77a0fc4c259b20aa7415d2192	40	38	5	0	28	3	0	19	21	78	14	67	12	17	0	3	70	0
f93d4475e6e833f785632216000980b0	199	117	82	1	45	129	12	145	16	99	16	32	23	6	3	57	67	15
69489dc1b80bc7d777214b41cc953b31	142	208	66	0	61	18	9	79	6	9	2	0	6	0	0	67	8	14
af59875f7699b66370290675c08385eb	57	48	38	8	17	50	30	102	40	0	0	0	0	0	0	27	66	26
3398308dbfb077c1ddeee436e1bfe575	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
e4299bd188c438115aa76f0c2cb9419a	3	0	0	0	0	0	0	0	2	52	4	0	4	0	0	3	0	3
f31f20496ed5d92e3175aeb3fe8968c7	0	0	168	5	146	65	34	174	55	0	0	0	10	0	0	277	0	0
d1d750ce3b00503c204516d27ca0d3b0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ca7253d5f8803f723e3b88df83b7e3d0	8	5	0	0	2	0	0	0	2	0	3	0	15	0	0	0	87	39
cd79f35f96e1b7fe7b111478ced7adc3	2	2	3	0	4	2	0	2	2	0	11	0	42	0	0	0	0	0
13e68d6b48a2b9f13b340e5fe0445c95	30	34	14	16	18	33	24	7	27	72	20	34	10	10	635	14	26	15
12acee2733a9b1812345a148d7a0419f	60	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
28c175fe53daa07decb4c94cca5b4f89	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	2
5efb6d0e4d3426d36140f0295e85589e	3	0	0	0	0	0	0	0	0	0	5	0	17	0	0	0	0	0
c09b0a540a7ef54141da8d2d1f9f138c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0f9e7f8dc0bee121276fd3df28d2526e	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
