FeatureID	mz	RT	mtb_group
705	651.2839395	1.561441015	unknown
706	659.2789851	6.164438591	unknown
707	661.392437	3.516943497	unknown
708	663.3198892	2.241889301	unknown
709	702.3462589	3.589767381	unknown
710	750.352085	2.251204464	unknown
711	750.3823427	4.571164919	unknown
712	752.3313912	1.408601565	unknown
713	760.3840931	2.37833091	unknown
714	776.4036988	2.628938384	unknown
715	790.3834245	2.629544649	unknown
716	803.5430647	6.507888497	unknown
717	807.3559224	2.432303519	unknown
718	940.4084833	3.598211309	unknown
719	943.4737046	2.551326316	unknown
720	961.4478661	2.247760463	unknown
721	969.4084738	2.561417256	unknown
722	1089.455368	3.84351037	unknown
723	1143.589824	3.536606002	unknown
724	227.0793467	1.11861863	unknown
725	245.186198	2.159682774	unknown
726	260.1606236	0.545638658	amines
727	267.1203419	3.79500043	unknown
728	267.1744729	4.415758385	unknown
729	277.1799045	5.24452988	unknown
730	297.1521263	3.683276522	unknown
731	299.2581576	8.63161188	unknown
732	300.2898805	7.115268488	unknown
733	303.1955283	3.232139676	unknown
734	303.2319137	8.96496637	unknown
735	307.1654096	3.154408691	unknown
736	314.1822125	0.522853561	unknown
737	317.2112541	5.539791354	unknown
738	330.1733805	3.738467484	fatty acids & other lipids
739	332.2180541	2.61501256	amines
740	336.3109139	8.494772915	glycols
741	338.2902988	7.130951392	glycols
742	344.1892989	5.631054134	unknown
743	344.254537	2.834879395	amines
744	347.1855189	3.087034658	unknown
745	353.2302626	5.019835895	unknown
746	367.1506829	0.96181796	unknown
747	370.2589444	5.181066105	unknown
748	373.198662	4.480911991	unknown
