CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1979	3218	16	1.0	0.000
793	797	17	0.9771	-24.001
419	795	17	0.9531	2.016
419	2311	17	0.9621	-21.985
419	1885	17	0.9656	56.063
667	876	17	0.8516	2.016
1471	2311	17	0.9557	-28.032
667	1666	17	0.9573	-26.016
2311	3162	17	0.8268	39.995
390	419	17	0.952	-28.031
793	1897	17	0.9585	26.016
419	1471	17	0.9661	6.047
390	797	17	0.9421	-48.001
792	2840	17	0.944	-21.984
390	2311	17	0.9399	-50.016
792	1167	17	0.9497	-24.000
1167	1666	17	0.708	33.945
1666	3162	17	0.8571	2.016
793	795	17	0.955	-2.016
876	1666	17	0.8607	-28.031
797	1885	17	0.9546	76.032
1167	1169	17	0.9845	-2.016
419	4203	17	0.9782	0.000
884	1169	17	0.9374	2.016
667	3162	17	0.8515	-24.000
2825	4203	17	0.8911	-42.047
797	1471	17	0.968	26.017
390	793	17	0.9654	-24.000
1897	2825	17	0.8745	12.000
793	2311	17	0.9675	-26.016
797	876	17	0.8639	63.996
667	2262	17	0.7618	-13.943
793	1885	17	0.9745	52.031
795	1885	17	0.9415	54.047
2262	3240	17	0.8459	13.979
1471	1885	17	0.9613	50.015
390	2262	17	0.9231	0.036
2197	3139	17	0.9211	-67.987
1167	2840	17	0.9535	2.016
1471	1897	17	0.9469	24.000
1666	2825	17	0.8093	26.052
419	797	17	0.9673	-19.970
792	884	17	0.9377	-28.031
2197	2852	17	0.9581	-2.016
1471	4203	17	0.9743	-6.047
793	2262	17	0.9442	24.037
884	1167	17	0.9362	4.032
1885	2825	17	0.9051	-14.015
793	4203	17	0.9871	-4.031
795	1471	17	0.9458	4.032
793	1471	17	0.984	2.016
419	793	17	0.9784	4.031
1169	2840	17	0.9508	4.031
2311	4203	17	0.9656	21.985
792	1169	17	0.958	-26.015
1885	4203	17	0.973	-56.063
797	4203	17	0.9721	19.970
1885	2311	17	0.9553	-78.047
797	2311	17	0.9705	-2.015
797	3162	17	0.8585	37.980
884	2840	17	0.925	6.047
1897	4203	17	0.9594	-30.047
1885	1897	17	0.9472	-26.016
1169	2852	17	0.8407	-67.988
390	1471	17	0.955	-21.984
1897	3162	17	0.8127	-12.036
876	3162	17	0.9811	-26.016
390	1897	17	0.9379	2.016
390	795	17	0.9318	-26.016
1183	2197	17	0.9183	-24.000
419	2825	17	0.8778	42.047
2262	2393	17	0.9389	0.000
1167	2197	17	0.8592	-67.988
1471	2262	17	0.9333	22.021
795	4203	17	0.9548	-2.016
390	4203	17	0.9618	-28.031
876	2825	17	0.7733	-1.979
390	1885	17	0.952	28.031
1183	2852	17	0.9153	-26.016
341	1056	18	0.8958	42.047
1115	1179	18	0.8187	-106.027
776	777	18	0.8871	-18.011
1130	4174	18	0.9902	0.000
875	1056	18	0.8749	68.063
341	1130	18	0.8938	-30.995
2817	4160	18	0.9364	-14.016
778	3146	18	0.7544	52.032
1903	2924	18	0.8934	-24.000
1179	1904	18	0.79	62.940
777	4160	18	0.972	0.000
1912	2839	18	0.864	-2.016
1912	4190	18	0.8377	26.016
1145	4171	18	0.9199	14.016
776	1895	18	0.8616	-40.031
4148	4174	18	0.9842	-28.031
1172	4156	18	0.8975	88.017
777	2485	18	0.8636	-38.016
778	1056	18	0.8128	66.047
1179	4174	18	0.9422	88.016
2817	3734	18	0.7965	-21.037
1172	2847	18	0.8823	-24.000
776	4156	18	0.9089	-14.016
1895	1912	18	0.7103	-39.993
1172	1179	18	0.9139	-18.010
1130	4160	18	0.9634	14.016
4148	4160	18	0.9542	-14.016
1172	2814	18	0.709	106.027
647	3733	18	0.8771	-14.016
3146	4148	18	0.8141	-30.995
2486	4174	18	0.9776	28.031
341	1179	18	0.8991	-119.011
1179	4185	18	0.8161	75.020
2478	4171	18	0.9802	0.000
318	341	18	0.9498	-14.016
2485	2817	18	0.8281	52.032
2817	4174	18	0.9581	-28.031
1130	1179	18	0.9453	-88.016
875	3146	18	0.8188	54.047
371	778	18	0.8635	4.031
778	2847	18	0.8053	-101.000
1115	1172	18	0.8177	-88.016
2480	4156	18	0.826	24.000
777	1130	18	0.9796	-14.016
